       2048:          11
       2514:           x
       2515:           x
       2516:           x
       2517:           x
       2518:           x
       2519:           x
       2520:           x
       2521:           x
       2522:           x
       2523:           x
       2524:           x
       2525:           x
       2526:           x
       2527:           x
       2528:           x
       2529:           x
       2530:           x
       2531:           x
       2532:           x
       2533:           x
       2534:           x
       2535:           x
       2536:           x
       2537:           x
       2538:           x
       2539:           x
       2540:           x
       2541:           x
       2542:           x
       2543:           x
       2544:           x
       2545:           x
       2546:           x
       2547:           x
       2548:           x
       2549:           x
       2550:           x
       2551:           x
       2552:           x
       2553:           x
       2554:           x
       2555:           x
       2556:           x
       2557:           x
       2558:           x
       2559:           x
       2560:           x
       2561:           x
       2562:           x
       2563:           x
       2564:           x
       2565:           x
       2566:           x
       2567:           x
       2568:           x
       2569:           x
       2570:           x
       2571:           x
       2572:           x
       2573:           x
       2574:           x
       2575:           x
       2576:           x
       2577:           x
       2578:           x
       2579:           x
       2580:           x
       2581:           x
       2582:           x
       2583:           x
       2584:           x
       2585:           x
       2586:           x
       2587:           x
       2588:           x
       2589:           x
       2590:           x
       2591:           x
       2592:           x
       2593:           x
       2594:           x
       2595:           x
       2596:           x
       2597:           x
       2598:           x
       2599:           x
       2600:           x
       2601:           x
       2602:           x
       2603:           x
       2604:           x
       2605:           x
       2606:           x
       2607:           x
       2608:           x
       2609:           x
       2610:           x
       2611:           x
       2612:           x
       2613:           x
       2614:           x
       2615:           x
       2616:           x
       2617:           x
       2618:           x
       2619:           x
       2620:           x
       2621:           x
       2622:           x
       2623:           x
       2624:           x
       2625:           x
       2626:           x
       2627:           x
       2628:           x
       2629:           x
       2630:           x
       2631:           x
       2632:           x
       2633:           x
       2634:           x
       2635:           x
       2636:           x
       2637:           x
       2638:           x
       2639:           x
       2640:           x
       2641:           x
       2642:           x
       2643:           x
       2644:           x
       2645:           x
       2646:           x
       2647:           x
       2648:           x
       2649:           x
       2650:           x
       2651:           x
       2652:           x
       2653:           x
       2654:           x
       2655:           x
       2656:           x
       2657:           x
       2658:           x
       2659:           x
       2660:           x
       2661:           x
       2662:           x
       2663:           x
       2664:           x
       2665:           x
       2666:           x
       2667:           x
       2668:           x
       2669:           x
       2670:           x
       2671:           x
       2672:           x
       2673:           x
       2674:           x
       2675:           x
       2676:           x
       2677:           x
       2678:           x
       2679:           x
       2680:           x
       2681:           x
       2682:           x
       2683:           x
       2684:           x
       2685:           x
       2686:           x
       2687:           x
       2688:           x
       2689:           x
       2690:           x
       2691:           x
       2692:           x
       2693:           x
       2694:           x
       2695:           x
       2696:           x
       2697:           x
       2698:           x
       2699:           x
       2700:           x
       2701:           x
       2702:           x
       2703:           x
       2704:           x
       2705:           x
       2706:           x
       2707:           x
       2708:           x
       2709:           x
       2710:           x
       2711:           x
       2712:           x
       2713:           x
       2714:           x
       2715:           x
       2716:           x
       2717:           x
       2718:           x
       2719:           x
       2720:           x
       2721:           x
       2722:           x
       2723:           x
       2724:           x
       2725:           x
       2726:           x
       2727:           x
       2728:           x
       2729:           x
       2730:           x
       2731:           x
       2732:           x
       2733:           x
       2734:           x
       2735:           x
       2736:           x
       2737:           x
       2738:           x
       2739:           x
       2740:           x
       2741:           x
       2742:           x
       2743:           x
       2744:           x
       2745:           x
       2746:           x
       2747:           x
       2748:           x
       2749:           x
       2750:           x
       2751:           x
       2752:           x
       2753:           x
       2754:           x
       2755:           x
       2756:           x
       2757:           x
       2758:           x
       2759:           x
       2760:           x
       2761:           x
       2762:           x
       2763:           x
       2764:           x
       2765:           x
       2766:           x
       2767:           x
       2768:           x
       2769:           x
       2770:           x
       2771:           x
       2772:           x
       2773:           x
       2774:           x
       2775:           x
       2776:           x
       2777:           x
       2778:           x
       2779:           x
       2780:           x
       2781:           x
       2782:           x
       2783:           x
       2784:           x
       2785:           x
       2786:           x
       2787:           x
       2788:           x
       2789:           x
       2790:           x
       2791:           x
       2792:           x
       2793:           x
       2794:           x
       2795:           x
       2796:           x
       2797:           x
       2798:           x
       2799:           x
       2800:           x
       2801:           x
       2802:           x
       2803:           x
       2804:           x
       2805:           x
       2806:           x
       2807:           x
       2808:           x
       2809:           x
       2810:           x
       2811:           x
       2812:           x
       2813:           x
       2814:           x
       2815:           x
       2816:           x
       2817:           x
       2818:           x
       2819:           x
       2820:           x
       2821:           x
       2822:           x
       2823:           x
       2824:           x
       2825:           x
       2826:           x
       2827:           x
       2828:           x
       2829:           x
       2830:           x
       2831:           x
       2832:           x
       2833:           x
       2834:           x
       2835:           x
       2836:           x
       2837:           x
       2838:           x
       2839:           x
       2840:           x
       2841:           x
       2842:           x
       2843:           x
       2844:           x
       2845:           x
       2846:           x
       2847:           x
       2848:           x
       2849:           x
       2850:           x
       2851:           x
       2852:           x
       2853:           x
       2854:           x
       2855:           x
       2856:           x
       2857:           x
       2858:           x
       2859:           x
       2860:           x
       2861:           x
       2862:           x
       2863:           x
       2864:           x
       2865:           x
       2866:           x
       2867:           x
       2868:           x
       2869:           x
       2870:           x
       2871:           x
       2872:           x
       2873:           x
       2874:           x
       2875:           x
       2876:           x
       2877:           x
       2878:           x
       2879:           x
       2880:           x
       2881:           x
       2882:           x
       2883:           x
       2884:           x
       2885:           x
       2886:           x
       2887:           x
       2888:           x
       2889:           x
       2890:           x
       2891:           x
       2892:           x
       2893:           x
       2894:           x
       2895:           x
       2896:           x
       2897:           x
       2898:           x
       2899:           x
       2900:           x
       2901:           x
       2902:           x
       2903:           x
       2904:           x
       2905:           x
       2906:           x
       2907:           x
       2908:           x
       2909:           x
       2910:           x
       2911:           x
       2912:           x
       2913:           x
       2914:           x
       2915:           x
       2916:           x
       2917:           x
       2918:           x
       2919:           x
       2920:           x
       2921:           x
       2922:           x
       2923:           x
       2924:           x
       2925:           x
       2926:           x
       2927:           x
       2928:           x
       2929:           x
       2930:           x
       2931:           x
       2932:           x
       2933:           x
       2934:           x
       2935:           x
       2936:           x
       2937:           x
       2938:           x
       2939:           x
       2940:           x
       2941:           x
       2942:           x
       2943:           x
       2944:           x
       2945:           x
       2946:           x
       2947:           x
       2948:           x
       2949:           x
       2950:           x
       2951:           x
       2952:           x
       2953:           x
       2954:           x
       2955:           x
       2956:           x
       2957:           x
       2958:           x
       2959:           x
       2960:           x
       2961:           x
       2962:           x
       2963:           x
       2964:           x
       2965:           x
       2966:           x
       2967:           x
       2968:           x
       2969:           x
       2970:           x
       2971:           x
       2972:           x
       2973:           x
       2974:           x
       2975:           x
       2976:           x
       2977:           x
       2978:           x
       2979:           x
       2980:           x
       2981:           x
       2982:           x
       2983:           x
       2984:           x
       2985:           x
       2986:           x
       2987:           x
       2988:           x
       2989:           x
       2990:           x
       2991:           x
       2992:           x
       2993:           x
       2994:           x
       2995:           x
       2996:           x
       2997:           x
       2998:           x
       2999:           x
       3000:           x
       3001:           x
       3002:           x
       3003:           x
       3004:           x
       3005:           x
       3006:           x
       3007:           x
       3008:           x
       3009:           x
       3010:           x
       3011:           x
       3012:           x
       3013:           x
       3014:           x
       3015:           x
       3016:           x
       3017:           x
       3018:           x
       3019:           x
       3020:           x
       3021:           x
       3022:           x
       3023:           x
       3024:           x
       3025:           x
       3026:           x
       3027:           x
       3028:           x
       3029:           x
       3030:           x
       3031:           x
       3032:           x
       3033:           x
       3034:           x
       3035:           x
       3036:           x
       3037:           x
       3038:           x
       3039:           x
       3040:           x
       3041:           x
       3042:           x
       3043:           x
       3044:           x
       3045:           x
       3046:           x
       3047:           x
       3048:           x
       3049:           x
       3050:           x
       3051:           x
       3052:           x
       3053:           x
       3054:           x
       3055:           x
       3056:           x
       3057:           x
       3058:           x
       3059:           x
       3060:           x
       3061:           x
       3062:           x
       3063:           x
       3064:           x
       3065:           x
       3066:           x
       3067:           x
       3068:           x
       3069:           x
       3070:           x
       3071:           x
